doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.1016/s1470-2045(12)70087-6,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2012-05-01
10.1186/s40425-014-0027-z,gold,gold,2051-1426,Journal for ImmunoTherapy of Cancer,BMJ,2014-08-19
10.1016/s1473-3099(13)70343-8,green,green,1473-3099,The Lancet Infectious Diseases,Elsevier BV,2014-04-01
10.1056/nejmoa1213917,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-08-29
10.1016/j.jcf.2013.06.001,bronze,bronze,1569-1993,Journal of Cystic Fibrosis,Elsevier BV,2014-01-01
10.1016/s0140-6736(09)60566-3,closed,closed,0140-6736,The Lancet,Elsevier BV,2009-04-01
10.1093/eurheartj/ehr144,bronze,bronze,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2011-05-26
10.1016/s1474-4422(11)70233-2,closed,closed,1474-4422,The Lancet Neurology,Elsevier BV,2011-12-01
10.1186/s13195-016-0189-7,gold,gold,1758-9193,Alzheimer's Research &amp; Therapy,Springer Science and Business Media LLC,2016-05-12
10.1016/j.jacc.2010.07.046,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2011-01-01
10.1016/j.amjcard.2009.10.060,closed,closed,0002-9149,The American Journal of Cardiology,Elsevier BV,2010-03-01
10.1001/jama.2016.14799,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2016-11-01
10.1002/ccd.24409,closed,closed,1522-1946,Catheterization and Cardiovascular Interventions,Wiley,2012-11-08
10.1371/journal.pmed.1001426,gold,gold,1549-1676,PLoS Medicine,Public Library of Science (PLoS),2013-04-16
10.1111/j.1365-2222.2012.04044.x,closed,closed,0954-7894,Clinical &amp; Experimental Allergy,Wiley,2012-09-21
10.1016/j.jval.2015.03.1787,bronze,bronze,1098-3015,Value in Health,Elsevier BV,2015-07-01
10.1093/eurheartj/ehq445,green,green,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2010-12-09
10.1016/s0140-6736(11)61613-9,closed,closed,0140-6736,The Lancet,Elsevier BV,2011-12-01
10.1038/bmt.2015.202,closed,closed,"0268-3369,1476-5365",Bone Marrow Transplantation,Springer Science and Business Media LLC,2015-09-14
10.1056/nejmoa1306687,bronze,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-10-10
10.1179/1074935714z.0000000047,closed,closed,"1074-9357,1945-5119",Topics in Stroke Rehabilitation,Informa UK Limited,2015-04-28
10.1371/journal.pone.0037885,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2012-06-08
10.1186/s12885-016-2052-4,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2016-01-15
10.1210/jc.2013-3318,hybrid,hybrid,"0021-972X,1945-7197",The Journal of Clinical Endocrinology &amp; Metabolism,The Endocrine Society,2014-04-01
10.1016/j.curtheres.2015.01.001,gold,gold,0011-393X,Current Therapeutic Research,Elsevier BV,2015-12-01
10.1016/j.jtcvs.2012.12.083,bronze,bronze,0022-5223,The Journal of Thoracic and Cardiovascular Surgery,Elsevier BV,2013-03-01
10.1111/j.1529-8027.2011.00330.x,closed,closed,1085-9489,Journal of the Peripheral Nervous System,Wiley,2011-06-01
10.1097/psy.0000000000000332,closed,closed,"1534-7796,0033-3174",Psychosomatic Medicine,Ovid Technologies (Wolters Kluwer Health),2016-07-01
10.1111/jcpe.12441,hybrid,hybrid,"0303-6979,1600-051X",Journal of Clinical Periodontology,Wiley,2015-09-01
10.1016/s1473-3099(11)70249-3,closed,closed,1473-3099,The Lancet Infectious Diseases,Elsevier BV,2012-01-01
10.1016/s2213-2600(14)70153-5,closed,closed,2213-2600,The Lancet Respiratory Medicine,Elsevier BV,2014-09-01
10.1128/cvi.00065-14,gold,gold,"1556-6811,1556-679X",Clinical and Vaccine Immunology,American Society for Microbiology,2014-06-01
10.1111/j.1600-051x.2011.01816.x,closed,closed,0303-6979,Journal of Clinical Periodontology,Wiley,2011-11-23
10.1016/s0140-6736(13)60023-9,green,green,0140-6736,The Lancet,Elsevier BV,2013-06-01
10.1016/s0140-6736(11)61872-2,closed,closed,0140-6736,The Lancet,Elsevier BV,2012-03-01
10.1161/circulationaha.113.001849,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2013-06-25
10.1192/bjp.bp.109.070177,bronze,bronze,"0007-1250,1472-1465",British Journal of Psychiatry,Royal College of Psychiatrists,2010-05-01
10.1161/circinterventions.110.957175,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2011-04-01
10.1136/annrheumdis-2015-207897,bronze,green,"0003-4967,1468-2060",Annals of the Rheumatic Diseases,BMJ,2015-08-04
10.1200/jco.2014.57.0952,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2015-04-10
10.1371/journal.pone.0023494,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2011-08-22
10.1056/nejmoa1214609,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-06-20
10.1002/ejp.699,bronze,bronze,1090-3801,European Journal of Pain,Wiley,2015-03-31
10.1182/blood-2012-06-438804,bronze,bronze,"0006-4971,1528-0020",Blood,American Society of Hematology,2012-11-01
10.1056/nejmoa1211666,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-03-28
10.1016/s1470-2045(11)70081-x,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2011-05-01
10.1056/nejmoa1107096,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-02-02
10.1016/j.jchf.2014.05.015,hybrid,hybrid,2213-1779,JACC: Heart Failure,Elsevier BV,2014-12-01
10.1093/europace/euv039,bronze,bronze,"1099-5129,1532-2092",Europace,Oxford University Press (OUP),2015-05-17
10.1136/hrt.2011.226563,closed,closed,1355-6037,Heart,BMJ,2011-05-26
10.1097/sla.0b013e318214bee5,closed,closed,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2011-06-01
10.1007/s00464-014-3731-3,hybrid,hybrid,"0930-2794,1432-2218",Surgical Endoscopy,Springer Science and Business Media LLC,2014-08-19
10.2174/1874434601105010086,hybrid,hybrid,1874-4346,The Open Nursing Journal,Bentham Science Publishers Ltd.,2011-10-26
10.1093/eurheartj/ehq330,closed,closed,"0195-668X,1522-9645",European Heart Journal,Oxford University Press (OUP),2010-08-30
10.1056/nejmoa1103180,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-02-02
10.1371/journal.pone.0077954,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2013-10-30
10.1016/j.ijcard.2014.04.229,closed,closed,0167-5273,International Journal of Cardiology,Elsevier BV,2014-07-01
10.1093/brain/awr170,hybrid,hybrid,"1460-2156,0006-8950",Brain,Oxford University Press (OUP),2011-07-23
10.1111/trf.12501,hybrid,hybrid,"0041-1132,1537-2995",Transfusion,Wiley,2013-11-24
10.1080/10615800903075132,closed,closed,"1061-5806,1477-2205","Anxiety, Stress &amp; Coping",Informa UK Limited,2010-05-01
10.1155/2014/786353,gold,gold,"2314-6133,2314-6141",BioMed Research International,Hindawi Limited,2014-01-01
10.1155/2013/125937,gold,gold,"1741-427X,1741-4288",Evidence-Based Complementary and Alternative Medicine,Hindawi Limited,2013-01-01
10.1097/jcp.0b013e31825e213e,closed,closed,0271-0749,Journal of Clinical Psychopharmacology,Ovid Technologies (Wolters Kluwer Health),2012-08-01
10.1097/sla.0000000000000798,closed,closed,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2015-02-01
10.1001/jamaophthalmol.2013.2851,closed,closed,2168-6165,JAMA Ophthalmology,American Medical Association (AMA),2013-05-01
10.1016/j.euroneuro.2012.11.012,hybrid,hybrid,0924-977X,European Neuropsychopharmacology,Elsevier BV,2013-10-01
10.1007/s00228-014-1754-2,closed,closed,"0031-6970,1432-1041",European Journal of Clinical Pharmacology,Springer Science and Business Media LLC,2014-09-25
10.1111/jsm.12310,closed,closed,1743-6095,The Journal of Sexual Medicine,Elsevier BV,2013-12-01
10.1186/1471-2253-14-48,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2014-06-28
10.1210/jc.2013-2262,green,green,"0021-972X,1945-7197",The Journal of Clinical Endocrinology &amp; Metabolism,The Endocrine Society,2013-10-01
10.1097/ajp.0b013e3182850559,closed,closed,0749-8047,The Clinical Journal of Pain,Ovid Technologies (Wolters Kluwer Health),2013-12-01
10.1200/jco.2011.41.1553,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-01-20
10.2147/dddt.s54064,gold,gold,1177-8881,"Drug Design, Development and Therapy",Informa UK Limited,2014-02-01
10.1016/j.jacc.2015.02.050,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2015-04-01
10.1016/j.exphem.2012.10.004,bronze,bronze,0301-472X,Experimental Hematology,Elsevier BV,2013-02-01
10.1016/j.biopsych.2014.10.009,closed,closed,0006-3223,Biological Psychiatry,Elsevier BV,2015-06-01
10.1159/000332207,green,green,"0304-324X,1423-0003",Gerontology,S. Karger AG,2011-11-03
10.1016/j.jaac.2014.01.017,hybrid,hybrid,0890-8567,Journal of the American Academy of Child &amp; Adolescent Psychiatry,Elsevier BV,2014-06-01
10.1016/s1470-2045(14)70161-5,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2014-06-01
10.1186/cc13091,gold,gold,1364-8535,Critical Care,Springer Science and Business Media LLC,2013-01-01
10.1111/bjd.13342,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2015-02-25
10.1007/s00066-013-0378-2,closed,closed,"0179-7158,1439-099X",Strahlentherapie und Onkologie,Springer Science and Business Media LLC,2013-07-05
10.1016/s1474-4422(12)70057-1,closed,closed,1474-4422,The Lancet Neurology,Elsevier BV,2012-05-01
10.1371/journal.pone.0153807,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2016-04-25
10.1056/nejmoa1110823,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-08-16
10.1186/s13054-014-0588-8,gold,gold,1364-8535,Critical Care,Springer Science and Business Media LLC,2014-10-01
10.1053/j.gastro.2012.09.007,closed,closed,0016-5085,Gastroenterology,Elsevier BV,2012-12-01
10.1016/s0140-6736(14)61903-6,closed,closed,0140-6736,The Lancet,Elsevier BV,2015-02-01
10.1016/j.eururo.2014.05.037,closed,closed,0302-2838,European Urology,Elsevier BV,2014-10-01
10.1038/eye.2011.282,bronze,green,"0950-222X,1476-5454",Eye,Springer Science and Business Media LLC,2011-11-11
10.1016/s2213-2600(14)70100-6,green,green,2213-2600,The Lancet Respiratory Medicine,Elsevier BV,2014-07-01
10.1371/journal.pone.0128069,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-06-09
10.1167/iovs.12-9612,closed,closed,1552-5783,Investigative Opthalmology &amp; Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2012-11-01
10.1186/alzrt89,gold,gold,1758-9193,Alzheimer's Research &amp; Therapy,Springer Science and Business Media LLC,2011-01-01
10.1111/clr.12079,closed,closed,0905-7161,Clinical Oral Implants Research,Wiley,2012-12-05
10.1161/circulationaha.109.931691,bronze,green,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2010-08-17
10.3174/ajnr.a3363,hybrid,hybrid,"0195-6108,1936-959X",American Journal of Neuroradiology,American Society of Neuroradiology (ASNR),2012-11-22
10.1016/j.ijcard.2013.07.034,closed,closed,0167-5273,International Journal of Cardiology,Elsevier BV,2013-09-01
10.1371/journal.pmed.1001733,gold,gold,1549-1676,PLoS Medicine,Public Library of Science (PLoS),2014-09-23
10.1182/blood-2013-01-479527,green,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2013-08-01
10.1016/j.crohns.2012.09.016,closed,closed,1873-9946,Journal of Crohn's and Colitis,Oxford University Press (OUP),2013-09-01
10.1161/strokeaha.110.609032,bronze,green,"0039-2499,1524-4628",Stroke,Ovid Technologies (Wolters Kluwer Health),2011-07-01
10.1016/j.jacc.2011.02.016,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2011-04-01
10.1016/j.fertnstert.2013.09.010,bronze,green,0015-0282,Fertility and Sterility,Elsevier BV,2014-01-01
10.1159/000345423,green,green,"0042-1138,1423-0399",Urologia Internationalis,S. Karger AG,2012-12-15
10.1186/s40425-015-0068-y,gold,gold,2051-1426,Journal for Immunotherapy of Cancer,BMJ,2015-06-16
10.1001/jamainternmed.2016.2514,bronze,bronze,2168-6106,JAMA Internal Medicine,American Medical Association (AMA),2016-09-01
10.1016/j.jvs.2013.10.069,hybrid,hybrid,0741-5214,Journal of Vascular Surgery,Elsevier BV,2014-04-01
10.1016/j.clon.2012.09.010,closed,closed,0936-6555,Clinical Oncology,Elsevier BV,2013-03-01
10.1001/jama.2011.1280,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2011-09-28
10.1016/s1470-2045(13)70464-9,green,green,1470-2045,The Lancet Oncology,Elsevier BV,2013-11-01
10.1016/j.ijcard.2013.05.030,closed,closed,0167-5273,International Journal of Cardiology,Elsevier BV,2013-10-01
10.1016/j.jaci.2012.06.047,closed,closed,0091-6749,Journal of Allergy and Clinical Immunology,Elsevier BV,2012-10-01
10.1186/ar4464,gold,gold,1478-6354,Arthritis Research &amp; Therapy,Springer Science and Business Media LLC,2014-01-01
10.1056/nejmoa1304369,bronze,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-10-31
10.1016/j.ajo.2011.08.044,closed,closed,0002-9394,American Journal of Ophthalmology,Elsevier BV,2012-05-01
10.1016/j.neuroimage.2014.12.073,closed,closed,1053-8119,NeuroImage,Elsevier BV,2015-04-01
10.1016/j.jacc.2013.03.035,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2013-06-01
10.1093/annonc/mdv324,bronze,green,0923-7534,Annals of Oncology,Elsevier BV,2015-11-01
10.1161/jaha.115.002674,gold,gold,2047-9980,Journal of the American Heart Association,Ovid Technologies (Wolters Kluwer Health),2016-01-13
10.1111/pan.12595,closed,closed,1155-5645,Pediatric Anesthesia,Wiley,2014-12-10
10.1001/jama.2013.5823,bronze,bronze,0098-7484,JAMA,American Medical Association (AMA),2013-06-19
10.2106/jbjs.m.01355,closed,closed,"0021-9355,1535-1386",Journal of Bone and Joint Surgery,Ovid Technologies (Wolters Kluwer Health),2014-11-19
10.1016/j.gie.2009.07.011,closed,closed,0016-5107,Gastrointestinal Endoscopy,Elsevier BV,2010-02-01
10.1371/journal.pone.0064743,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2013-05-31
10.1016/j.rmed.2014.12.011,bronze,green,0954-6111,Respiratory Medicine,Elsevier BV,2015-03-01
10.1183/09031936.00019711,bronze,bronze,"0903-1936,1399-3003",European Respiratory Journal,European Respiratory Society (ERS),2012-05-31
10.1183/09031936.00162710,bronze,bronze,"0903-1936,1399-3003",European Respiratory Journal,European Respiratory Society (ERS),2012-04-20
10.1136/thoraxjnl-2011-201038,bronze,green,"0040-6376,1468-3296",Thorax,BMJ,2012-02-28
10.1017/s0007114510001054,bronze,bronze,"0007-1145,1475-2662",British Journal of Nutrition,Cambridge University Press (CUP),2010-04-27
10.1378/chest.12-2875,closed,closed,0012-3692,Chest,Elsevier BV,2013-09-01
10.1097/hjh.0b013e328344db3a,closed,closed,0263-6352,Journal of Hypertension,Ovid Technologies (Wolters Kluwer Health),2011-05-01
10.1016/j.jtcvs.2011.06.001,bronze,bronze,0022-5223,The Journal of Thoracic and Cardiovascular Surgery,Elsevier BV,2012-05-01
10.1016/s1470-2045(15)00362-9,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2015-12-01
10.1007/s00464-014-3711-7,closed,closed,"0930-2794,1432-2218",Surgical Endoscopy,Springer Science and Business Media LLC,2014-08-15
10.1007/s00228-012-1284-8,green,green,"0031-6970,1432-1041",European Journal of Clinical Pharmacology,Springer Science and Business Media LLC,2012-05-01
10.1161/circulationaha.112.122556,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2012-12-04
10.1007/s00429-014-0805-x,closed,closed,"1863-2653,1863-2661",Brain Structure and Function,Springer Science and Business Media LLC,2014-05-31
10.1186/1465-9921-14-114,gold,gold,1465-9921,Respiratory Research,Springer Science and Business Media LLC,2013-01-01
10.1056/nejmoa1105185,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2011-11-03
10.1164/rccm.201301-0153oc,green,green,"1073-449X,1535-4970",American Journal of Respiratory and Critical Care Medicine,American Thoracic Society,2013-06-01
10.1007/s12325-014-0095-y,hybrid,hybrid,"0741-238X,1865-8652",Advances in Therapy,Springer Science and Business Media LLC,2014-01-23
10.2147/opth.s59932,gold,gold,1177-5483,Clinical Ophthalmology,Informa UK Limited,2014-05-01
10.1371/journal.pone.0052695,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2012-12-31
10.1002/pon.3329,closed,closed,1057-9249,Psycho-Oncology,Wiley,2013-06-13
10.1161/circulationaha.116.022924,hybrid,hybrid,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2017-02-28
10.1016/j.ejca.2016.05.018,closed,closed,0959-8049,European Journal of Cancer,Elsevier BV,2016-09-01
10.1007/s00423-014-1203-9,hybrid,hybrid,"1435-2443,1435-2451",Langenbeck's Archives of Surgery,Springer Science and Business Media LLC,2014-06-01
10.1016/j.ejon.2012.08.002,closed,closed,1462-3889,European Journal of Oncology Nursing,Elsevier BV,2013-06-01
10.1097/cji.0b013e3181f7dbe8,closed,closed,1524-9557,Journal of Immunotherapy,Ovid Technologies (Wolters Kluwer Health),2011-01-01
10.1056/nejmoa1313600,closed,closed,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2014-06-26
10.1016/s1470-2045(15)70081-1,green,green,1470-2045,The Lancet Oncology,Elsevier BV,2015-04-01
10.1056/nejmoa1510198,bronze,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2016-08-11
10.1016/j.biopsych.2010.12.016,closed,closed,0006-3223,Biological Psychiatry,Elsevier BV,2011-06-01
10.1161/strokeaha.113.001531,bronze,bronze,"0039-2499,1524-4628",Stroke,Ovid Technologies (Wolters Kluwer Health),2013-10-01
10.1136/bjophthalmol-2014-305642,closed,closed,"0007-1161,1468-2079",British Journal of Ophthalmology,BMJ,2014-09-02
10.1016/j.jcin.2013.05.022,bronze,bronze,1936-8798,JACC: Cardiovascular Interventions,Elsevier BV,2014-01-01
10.1016/s0140-6736(13)61164-2,closed,closed,0140-6736,The Lancet,Elsevier BV,2013-06-01
10.4244/eijy14m06_01,closed,closed,1774-024X,EuroIntervention,Europa Digital & Publishing,2014-08-01
10.1056/nejmoa1214886,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2013-06-20
